ngram	w1	w2	w3	w4	w5	n
karena_panennya_pada_suatu_waktu	karena	panennya	pada	suatu	waktu	1
karena_pem-prop_masih_menunggu_waktu	karena	pem-prop	masih	menunggu	waktu	1
karena_pengunjung_pasti_penasaran_waktu	karena	pengunjung	pasti	penasaran	waktu	1
karena_perjuangan_tinggal_masalah_waktu	karena	perjuangan	tinggal	masalah	waktu	1
karena_pertumbuhannya_dapat_memakan_waktu	karena	pertumbuhannya	dapat	memakan	waktu	1
karena_perubahan_dari_waktu_ke	karena	perubahan	dari	waktu	ke	1
karena_pihak_penyelenggara_menyesuaikan_waktu	karena	pihak	penyelenggara	menyesuaikan	waktu	1
karena_proses_pembersihan_memakan_waktu	karena	proses	pembersihan	memakan	waktu	1
karena_punya_cukup_waktu_istirahat	karena	punya	cukup	waktu	istirahat	1
karena_saat_ini_merupakan_waktu	karena	saat	ini	merupakan	waktu	1
karena_sampai_batas_waktu_habis	karena	sampai	batas	waktu	habis	1
karena_sekarang_waktu_orang_naik	karena	sekarang	waktu	orang	naik	1
karena_selama_jangka_waktu_fixed	karena	selama	jangka	waktu	fixed	1
karena_semakin_lama_jangka_waktu	karena	semakin	lama	jangka	waktu	1
karena_suasana_waktu_itu_dengan	karena	suasana	waktu	itu	dengan	1
karena_suka_enggak_suka_waktu	karena	suka	enggak	suka	waktu	1
karena_sulit_mengatur_waktu_berangkat-pulang	karena	sulit	mengatur	waktu	berangkat-pulang	1
karena_tahapan_pilkada_dalam_waktu	karena	tahapan	pilkada	dalam	waktu	1
karena_tak_menggunakan_waktu_secara	karena	tak	menggunakan	waktu	secara	1
karena_tak_sedikit_waktu_dan	karena	tak	sedikit	waktu	dan	1
karena_tengah_malam_merupakan_waktu	karena	tengah	malam	merupakan	waktu	1
karena_tergolong_korupsi_waktu_yang	karena	tergolong	korupsi	waktu	yang	1
karena_terkendala_waktu_dan_perizinan	karena	terkendala	waktu	dan	perizinan	1
karena_tes_rambut_memerlukan_waktu	karena	tes	rambut	memerlukan	waktu	1
karena_tidak_ada_waktu_ke	karena	tidak	ada	waktu	ke	1
karena_tingginya_permintaan_dari_waktu	karena	tingginya	permintaan	dari	waktu	1
karena_tubuh_membutuhkan_waktu_lebih	karena	tubuh	membutuhkan	waktu	lebih	1
karena_waktu_dijemput_sedang_sakit	karena	waktu	dijemput	sedang	sakit	1
karena_waktu_dikorbankan_dan_mereduksi	karena	waktu	dikorbankan	dan	mereduksi	1
karena_waktu_itu_ada_semacam	karena	waktu	itu	ada	semacam	1
karena_waktu_itu_belum_ada	karena	waktu	itu	belum	ada	1
karena_waktu_itu_berbenturan_dengan	karena	waktu	itu	berbenturan	dengan	1
karena_waktu_itu_diri-nya_capek	karena	waktu	itu	diri-nya	capek	1
karena_waktu_itu_ia_baru	karena	waktu	itu	ia	baru	1
karena_waktu_itu_ia_merupakan	karena	waktu	itu	ia	merupakan	1
karena_waktu_itu_kami_dukung	karena	waktu	itu	kami	dukung	1
karena_waktu_itu_mau_mulai	karena	waktu	itu	mau	mulai	1
karena_waktu_itu_mertua_masuk	karena	waktu	itu	mertua	masuk	1
karena_waktu_itu_mesin_ketik	karena	waktu	itu	mesin	ketik	1
karena_waktu_itu_rekomendasi_tidak	karena	waktu	itu	rekomendasi	tidak	1
karena_waktu_itu_relokasi_diarahkan	karena	waktu	itu	relokasi	diarahkan	1
karena_waktu_itu_semen_hilang	karena	waktu	itu	semen	hilang	1
karena_waktu_itu_sudah_ninggalin	karena	waktu	itu	sudah	ninggalin	1
karena_waktu_kami_juga_terbatas	karena	waktu	kami	juga	terbatas	1
karena_waktu_kami_tak_akan	karena	waktu	kami	tak	akan	1
karena_waktu_kampanye_belum_tiba	karena	waktu	kampanye	belum	tiba	1
karena_waktu_karantina_yang_lama	karena	waktu	karantina	yang	lama	1
karena_waktu_keberadaannya_di_daerah	karena	waktu	keberadaannya	di	daerah	1
karena_waktu_kecil_saya_juga	karena	waktu	kecil	saya	juga	1
karena_waktu_kini_berubah_terutama	karena	waktu	kini	berubah	terutama	1
karena_waktu_lalu_torang_tunggu	karena	waktu	lalu	torang	tunggu	1
karena_waktu_latihan_tak_ada	karena	waktu	latihan	tak	ada	1
karena_waktu_luang_pelajar_lebih	karena	waktu	luang	pelajar	lebih	1
karena_waktu_masih_kuliah_di	karena	waktu	masih	kuliah	di	1
karena_waktu_masih_panjang_buat	karena	waktu	masih	panjang	buat	1
karena_waktu_mereka_relatif_lebih	karena	waktu	mereka	relatif	lebih	1
karena_waktu_pelaksana-an_dua_event	karena	waktu	pelaksana-an	dua	event	1
karena_waktu_pelaksanaan_pekerjaan_tidak	karena	waktu	pelaksanaan	pekerjaan	tidak	1
karena_waktu_pengamatan_sering_bergeser	karena	waktu	pengamatan	sering	bergeser	1
karena_waktu_pengerjaannya_belum_dinya-takan	karena	waktu	pengerjaannya	belum	dinya-takan	1
karena_waktu_pengu-sulan_dirinya_masih	karena	waktu	pengu-sulan	dirinya	masih	1
karena_waktu_perawatan_pesawat_sudah	karena	waktu	perawatan	pesawat	sudah	1
karena_waktu_pertan-dingan_tersebut_para	karena	waktu	pertan-dingan	tersebut	para	1
karena_waktu_pertempuran_tinggal_menghitung	karena	waktu	pertempuran	tinggal	menghitung	1
karena_waktu_sesi_kualifikasi_hanya	karena	waktu	sesi	kualifikasi	hanya	1
karena_waktu_singkat_dan_spesifikasi	karena	waktu	singkat	dan	spesifikasi	1
karena_waktu_tenaga_pikiran_dan	karena	waktu	tenaga	pikiran	dan	1
karena_waktu_turun_yang_pas	karena	waktu	turun	yang	pas	1
karena_waktu_unjuk_rasa_sudah	karena	waktu	unjuk	rasa	sudah	1
karena_waktu_yang_ada_sudah	karena	waktu	yang	ada	sudah	1
karena_waktu_yang_kian_dekat	karena	waktu	yang	kian	dekat	1
karena_waktu_yang_mepet_jelang	karena	waktu	yang	mepet	jelang	1
karena_waktu_yang_singkat_ini	karena	waktu	yang	singkat	ini	1
karena_waktu_yang_sudah_mepet	karena	waktu	yang	sudah	mepet	1
karena_waktu_yang_terlalu_mepet	karena	waktu	yang	terlalu	mepet	1
karena_waktu_yang_tersedia_terlalu	karena	waktu	yang	tersedia	terlalu	1
karena_yang_menen-tukan_waktu_pemekaran	karena	yang	menen-tukan	waktu	pemekaran	1
karenanya_kata_kedua-nya_dalam_waktu	karenanya	kata	kedua-nya	dalam	waktu	1
karenanya_tim_butuh_waktu_panjang	karenanya	tim	butuh	waktu	panjang	1
karir_kami_untuk_mencurahkan_waktu	karir	kami	untuk	mencurahkan	waktu	1
karir_masih_ada_waktu_untuk	karir	masih	ada	waktu	untuk	1
karirnya_dengan_catatan_waktu_satu	karirnya	dengan	catatan	waktu	satu	1
kartu_hanya_membutuhkan_waktu_dua	kartu	hanya	membutuhkan	waktu	dua	1
kartu_masuk_tol_dibutuhkan_waktu	kartu	masuk	tol	dibutuhkan	waktu	1
kartu_pos_waktu_itu_tidak	kartu	pos	waktu	itu	tidak	1
kartu_sekadar_untuk_me-lepas_waktu	kartu	sekadar	untuk	me-lepas	waktu	1
karya_saya_tanpa_dibatasi_waktu	karya	saya	tanpa	dibatasi	waktu	1
karya_seni_bermutu_dalam_waktu	karya	seni	bermutu	dalam	waktu	1
kas_daerah_sesuai_dengan_waktu	kas	daerah	sesuai	dengan	waktu	1
kas_kami_terakhir_waktu_audited	kas	kami	terakhir	waktu	audited	1
kase_kesempatan_batas_waktu_proyek	kase	kesempatan	batas	waktu	proyek	1
kasih_atas_waktu_yang_diberikan	kasih	atas	waktu	yang	diberikan	1
kasih_kita_waktu_tiga_hari	kasih	kita	waktu	tiga	hari	1
kasih_sayang_itu_sepanjang_waktu	kasih	sayang	itu	sepanjang	waktu	1
kasih_untuk_waktu_dan_perhatiannya	kasih	untuk	waktu	dan	perhatiannya	1
kasih_waktu_dua_hari_ini	kasih	waktu	dua	hari	ini	1
kasih_waktu_sampai_uji_coba	kasih	waktu	sampai	uji	coba	1
kasih_waktu_untuk_masyarakat_ujarnya	kasih	waktu	untuk	masyarakat	ujarnya	1
kasipnya_waktu_kopian_itu_belum	kasipnya	waktu	kopian	itu	belum	1
kasus_beberapa_waktu_lalu_kemudian	kasus	beberapa	waktu	lalu	kemudian	1
kasus_dikonfirmasi_dalam_waktu_dua	kasus	dikonfirmasi	dalam	waktu	dua	1
kasus_ini_beberapa_waktu_sempat	kasus	ini	beberapa	waktu	sempat	1
kasus_ini_sendiri_dalam_waktu	kasus	ini	sendiri	dalam	waktu	1
kasus_ini_tentu_memerlukan_waktu	kasus	ini	tentu	memerlukan	waktu	1
kasus_ini_terganjal_batas_waktu	kasus	ini	terganjal	batas	waktu	1
kasus_jarak_dan_waktu_yang	kasus	jarak	dan	waktu	yang	1
kasus_korupsi_hingga_diberikan_waktu	kasus	korupsi	hingga	diberikan	waktu	1
kasus_pemecah_ombak_dalam_waktu	kasus	pemecah	ombak	dalam	waktu	1
kasus_penculikan_waktu_lalu_terjaring	kasus	penculikan	waktu	lalu	terjaring	1
kasus_yang_terjadi_beberapa_waktu	kasus	yang	terjadi	beberapa	waktu	1
kata_dakwah_yang_waktu_itu	kata	dakwah	yang	waktu	itu	1
kata_dia_dalam_jangka_waktu	kata	dia	dalam	jangka	waktu	1
kata_dia_membutuhkan_waktu_tunggu	kata	dia	membutuhkan	waktu	tunggu	1
kata_kedua-nya_dalam_waktu_dekat	kata	kedua-nya	dalam	waktu	dekat	1
kata_lain_dibutuhkan_waktu_tahun	kata	lain	dibutuhkan	waktu	tahun	1
kata_per-panjangan_atau_jangka_waktu	kata	per-panjangan	atau	jangka	waktu	1
kata_sepakat_waktu_penyeleng-garaan_seleksi	kata	sepakat	waktu	penyeleng-garaan	seleksi	1
kata-kan_waktu_itu_saya_tidak	kata-kan	waktu	itu	saya	tidak	1
kata-kata_ancaman_dan_pernyataan_waktu	kata-kata	ancaman	dan	pernyataan	waktu	1
kata-kata_demokratisasi_beberapa_waktu_lalu	kata-kata	demokratisasi	beberapa	waktu	lalu	1
katakan_kepada_saya_beberapa_waktu	katakan	kepada	saya	beberapa	waktu	1
katalis_positif_hingga_beberapa_waktu	katalis	positif	hingga	beberapa	waktu	1
katanya_hanya_dibutuhkan_waktu_maksimal	katanya	hanya	dibutuhkan	waktu	maksimal	1
katanya_kita_diberi_waktu_hari	katanya	kita	diberi	waktu	hari	1
katanya_peng-awasan_yang_dilakukan_waktu	katanya	peng-awasan	yang	dilakukan	waktu	1
katanya_pengalam-an_pembinaan_waktu_dirinya	katanya	pengalam-an	pembinaan	waktu	dirinya	1
kategori_sprint_dengan_catatan_waktu	kategori	sprint	dengan	catatan	waktu	1
kategori_waktu_yang_bersifat_metafisik	kategori	waktu	yang	bersifat	metafisik	1
kateringnya_pun_datang_tepat_waktu	kateringnya	pun	datang	tepat	waktu	1
katimbang_menyisihkan_waktu_dan_biaya	katimbang	menyisihkan	waktu	dan	biaya	1
kaukus_dan_dalam_waktu_dekat	kaukus	dan	dalam	waktu	dekat	1
kaum_buruh_pada_waktu_mogok	kaum	buruh	pada	waktu	mogok	1
kaum_muda_yang_mempunyai_waktu	kaum	muda	yang	mempunyai	waktu	1
kawanan_ternak_mereka_pada_waktu	kawanan	ternak	mereka	pada	waktu	1
kawasan_baru_memerlukan_waktu_panjang	kawasan	baru	memerlukan	waktu	panjang	1
kawasan_ini_untuk_sementara_waktu	kawasan	ini	untuk	sementara	waktu	1
kaya_raya_waktu_tua_sehat	kaya	raya	waktu	tua	sehat	1
kayu_biar_dibahas_di_waktu	kayu	biar	dibahas	di	waktu	1
kayu_keras_membutuhkan_waktu_panen	kayu	keras	membutuhkan	waktu	panen	1
kayu_perlu_waktu_lama_untuk	kayu	perlu	waktu	lama	untuk	1
ke_ala-mat_seperti_waktu_pemasukan	ke	ala-mat	seperti	waktu	pemasukan	1
ke_alamat_seperti_waktu_pemasukan	ke	alamat	seperti	waktu	pemasukan	1
ke_atas_dalam_waktu_jam	ke	atas	dalam	waktu	jam	1
ke_atas_meng-habiskan_waktu_dengan	ke	atas	meng-habiskan	waktu	dengan	1
ke_bawah_akan_membutuhkan_waktu	ke	bawah	akan	membutuhkan	waktu	1
ke_bumi_dalam_waktu_dua	ke	bumi	dalam	waktu	dua	1
ke_dalam_suasana_waktu_dan	ke	dalam	suasana	waktu	dan	1
ke_depan_biasanya_menjadi_waktu	ke	depan	biasanya	menjadi	waktu	1
ke_depan_dalam_waktu_lama	ke	depan	dalam	waktu	lama	1
ke_depan_diharapkan_menjadi_waktu	ke	depan	diharapkan	menjadi	waktu	1
ke_dewan_kota_beberapa_waktu	ke	dewan	kota	beberapa	waktu	1
ke_dokter_waktu_sa-kit_terangnya	ke	dokter	waktu	sa-kit	terangnya	1
ke_fase_tambahan_waktu_sampai	ke	fase	tambahan	waktu	sampai	1
ke_genset_itu_memerlukan_waktu	ke	genset	itu	memerlukan	waktu	1
ke_gereja_dan_menghabiskan_waktu	ke	gereja	dan	menghabiskan	waktu	1
ke_insitu_bisa_memakan_waktu	ke	insitu	bisa	memakan	waktu	1
ke_jalan_dan_dalam_waktu	ke	jalan	dan	dalam	waktu	1
ke_jamaah_pada_pukul_waktu	ke	jamaah	pada	pukul	waktu	1
ke_jembatan_ini_pada_waktu	ke	jembatan	ini	pada	waktu	1
ke_kabupaten_lain_membutuhkan_waktu	ke	kabupaten	lain	membutuhkan	waktu	1
ke_kantor_dalam_waktu_menit	ke	kantor	dalam	waktu	menit	1
ke_kantor_tepat_waktu_sesuai	ke	kantor	tepat	waktu	sesuai	1
ke_kejaksaan_beberapa_waktu_lalu	ke	kejaksaan	beberapa	waktu	lalu	1
ke_klenteng_waktu_yang_paling	ke	klenteng	waktu	yang	paling	1
ke_klub_lain_dalam_waktu	ke	klub	lain	dalam	waktu	1
ke_konsumen_dalam_waktu_dekat	ke	konsumen	dalam	waktu	dekat	1
ke_lingkungan_tapi_waktu_itu	ke	lingkungan	tapi	waktu	itu	1
ke_lokasi_liputan_memakan_waktu	ke	lokasi	liputan	memakan	waktu	1
ke_lorong_waktu_yang_menyoroti	ke	lorong	waktu	yang	menyoroti	1
ke_luar_negeri_dalam_waktu	ke	luar	negeri	dalam	waktu	1
ke_pe-ngadilan_dalam_waktu_dekat	ke	pe-ngadilan	dalam	waktu	dekat	1
ke_pelaksanaan_pemerintah_butuh_waktu	ke	pelaksanaan	pemerintah	butuh	waktu	1
ke_penerbangan_dengan_memperpanjang_waktu	ke	penerbangan	dengan	memperpanjang	waktu	1
ke_penjara_untuk_masa_waktu	ke	penjara	untuk	masa	waktu	1
ke_permukaan_membutuhkan_waktu_dan	ke	permukaan	membutuhkan	waktu	dan	1
ke_perpustakaan_ya_manfaatkan_waktu	ke	perpustakaan	ya	manfaatkan	waktu	1
ke_petugas_pada_waktu_ditemukannya	ke	petugas	pada	waktu	ditemukannya	1
ke_pihak_ekse-kutif_dalam_waktu	ke	pihak	ekse-kutif	dalam	waktu	1
ke_polisi_dalam_waktu_dekat	ke	polisi	dalam	waktu	dekat	1
ke_pusat_beberapa_waktu_lalu	ke	pusat	beberapa	waktu	lalu	1
ke_regional_dalam_waktu_tahun	ke	regional	dalam	waktu	tahun	1
ke_salon_karena_membutuhkan_waktu	ke	salon	karena	membutuhkan	waktu	1
ke_sarjana_dalam_waktu_bulan	ke	sarjana	dalam	waktu	bulan	1
ke_sejumlah_wilayah_katanya_waktu	ke	sejumlah	wilayah	katanya	waktu	1
ke_sekolah_beberapa_waktu_lalu	ke	sekolah	beberapa	waktu	lalu	1
ke_sektorial_itu_butuh_waktu	ke	sektorial	itu	butuh	waktu	1
ke_sini_setiap_waktu_dan	ke	sini	setiap	waktu	dan	1
ke_suatu_tempat_menjadi_waktu	ke	suatu	tempat	menjadi	waktu	1
ke_tanah_air_dalam_waktu	ke	tanah	air	dalam	waktu	1
ke_tempat_lain_membutuhkan_waktu	ke	tempat	lain	membutuhkan	waktu	1
ke_waktu_agama_digunakan_kelompok	ke	waktu	agama	digunakan	kelompok	1
ke_waktu_dan_berbeda_dengan	ke	waktu	dan	berbeda	dengan	1
ke_waktu_dari_generasi_ke	ke	waktu	dari	generasi	ke	1
ke_waktu_dari_tahun_ke	ke	waktu	dari	tahun	ke	1
ke_waktu_dengan_jumlah_korban	ke	waktu	dengan	jumlah	korban	1
ke_waktu_dengan_lebih_baik	ke	waktu	dengan	lebih	baik	1
ke_waktu_di_atas_permukaan	ke	waktu	di	atas	permukaan	1
ke_waktu_di_negara-negara_dan	ke	waktu	di	negara-negara	dan	1
ke_waktu_disesuaikan_dengan_jumlah	ke	waktu	disesuaikan	dengan	jumlah	1
ke_waktu_eceng_gondok_semakin	ke	waktu	eceng	gondok	semakin	1
ke_waktu_generasinya_rentan_terputus	ke	waktu	generasinya	rentan	terputus	1
ke_waktu_harga_emas_menunjukkan	ke	waktu	harga	emas	menunjukkan	1
ke_waktu_juga_selalu_ada	ke	waktu	juga	selalu	ada	1
ke_waktu_jumlah_pencari_kerja	ke	waktu	jumlah	pencari	kerja	1
ke_waktu_jumlahnya_terus_meningkat	ke	waktu	jumlahnya	terus	meningkat	1
ke_waktu_kata_pria_bertubuh	ke	waktu	kata	pria	bertubuh	1
ke_waktu_katanya_seperti_dikutip	ke	waktu	katanya	seperti	dikutip	1
ke_waktu_kita_akan_mengatakan	ke	waktu	kita	akan	mengatakan	1
ke_waktu_masih_ada_saja	ke	waktu	masih	ada	saja	1
ke_waktu_menjadi_simbol_kemenangan	ke	waktu	menjadi	simbol	kemenangan	1
ke_waktu_merangsang_orang_menyimpan	ke	waktu	merangsang	orang	menyimpan	1
ke_waktu_peran_perempuan_tidak	ke	waktu	peran	perempuan	tidak	1
ke_waktu_saat_ini_kami	ke	waktu	saat	ini	kami	1
ke_waktu_saya_biasa_mengajak	ke	waktu	saya	biasa	mengajak	1
ke_waktu_sebab_promosinya_sampai	ke	waktu	sebab	promosinya	sampai	1
ke_waktu_sebagai_sentra_peng-hasil	ke	waktu	sebagai	sentra	peng-hasil	1
ke_waktu_sehingga_menunjukkan_bahwa	ke	waktu	sehingga	menunjukkan	bahwa	1
ke_waktu_seiring_laju_inflasi	ke	waktu	seiring	laju	inflasi	1
ke_waktu_sejak_masa_pasca-Nabi	ke	waktu	sejak	masa	pasca-Nabi	1
ke_waktu_selalu_saja_ada	ke	waktu	selalu	saja	ada	1
ke_waktu_selalu_selalu_menjadi	ke	waktu	selalu	selalu	menjadi	1
ke_waktu_selalu_timbul_masalah	ke	waktu	selalu	timbul	masalah	1
ke_waktu_semakin_baik_dan	ke	waktu	semakin	baik	dan	1
ke_waktu_supaya_lebih_kondusif	ke	waktu	supaya	lebih	kondusif	1
ke_waktu_tambahan_alias_setelah	ke	waktu	tambahan	alias	setelah	1
ke_waktu_termasuk_bencana_yang	ke	waktu	termasuk	bencana	yang	1
ke_waktu_terus_berusaha_untuk	ke	waktu	terus	berusaha	untuk	1
ke_waktu_terus_dibincangkan_saban	ke	waktu	terus	dibincangkan	saban	1
ke_waktu_terus_menga-lami_peningkatan	ke	waktu	terus	menga-lami	peningkatan	1
ke_waktu_terus_meningkat_semen-tara	ke	waktu	terus	meningkat	semen-tara	1
ke_waktu_terus_meningkat_tandas	ke	waktu	terus	meningkat	tandas	1
ke_waktu_tetap_selalu_meningkat	ke	waktu	tetap	selalu	meningkat	1
ke_waktu_tun-tutan_guru_masih	ke	waktu	tun-tutan	guru	masih	1
ke-jaksaan_dan_kemungkinan_da-lam_waktu	ke-jaksaan	dan	kemungkinan	da-lam	waktu	1
ke-juaraan_waktu_lalu_di_mana	ke-juaraan	waktu	lalu	di	mana	1
ke-kosongan_pemerintahan_waktu_itu_tegasnya	ke-kosongan	pemerintahan	waktu	itu	tegasnya	1
ke-langkaan_semen_beberapa_waktu_lalu	ke-langkaan	semen	beberapa	waktu	lalu	1
ke-mudian_terjun_ke_pilkada_waktu	ke-mudian	terjun	ke	pilkada	waktu	1
ke-mungkinan_besar_dalam_waktu_dekat	ke-mungkinan	besar	dalam	waktu	dekat	1
ke-mungkinan_jika_di_suatu_waktu	ke-mungkinan	jika	di	suatu	waktu	1
ke-pada_harian_ini_beberapa_waktu	ke-pada	harian	ini	beberapa	waktu	1
ke-pada_sejumlah_wartawan_waktu_itu	ke-pada	sejumlah	wartawan	waktu	itu	1
ke-pastian_waktu_atau_jadwal_soal	ke-pastian	waktu	atau	jadwal	soal	1
ke-rangka_waktu_yang_lebih_panjang	ke-rangka	waktu	yang	lebih	panjang	1
ke-sedian_waktu_presiden_untuk_ditandatangani	ke-sedian	waktu	presiden	untuk	ditandatangani	1
ke-sempatan_tapi_hingga_batas_waktu	ke-sempatan	tapi	hingga	batas	waktu	1
ke-tepatan_waktu_atau_momentum_artinya	ke-tepatan	waktu	atau	momentum	artinya	1
ke-tetapan_waktu_ujian_dimulai_juga	ke-tetapan	waktu	ujian	dimulai	juga	1
ke-tujuh_ranperda_tersebut_dalam_waktu	ke-tujuh	ranperda	tersebut	dalam	waktu	1
keadaan_dan_kondisi_waktu_itu	keadaan	dan	kondisi	waktu	itu	1
keadaan_menjadi_di_sisa_waktu	keadaan	menjadi	di	sisa	waktu	1
keadaan_waktu_itu_yang_memungkinkan	keadaan	waktu	itu	yang	memungkinkan	1
keahlian_dan_waktu_yang_lama	keahlian	dan	waktu	yang	lama	1
keahlian_yang_berkembang_dari_waktu	keahlian	yang	berkembang	dari	waktu	1
keamanan_dan_ketepatan_waktu_distribusi	keamanan	dan	ketepatan	waktu	distribusi	1
keamanan_dan_tepat_waktu_dibanding	keamanan	dan	tepat	waktu	dibanding	1
keamanan_penerbangan_hingga_waktu_yang	keamanan	penerbangan	hingga	waktu	yang	1
kebaikan_mengekal_dalam_ingatan_waktu	kebaikan	mengekal	dalam	ingatan	waktu	1
kebakaran_akan_dilakukan_dalam_waktu	kebakaran	akan	dilakukan	dalam	waktu	1
kebangsaan_dalam_suatu_kesatuan_waktu	kebangsaan	dalam	suatu	kesatuan	waktu	1
kebanyakan_anak_menghabiskan_waktu_bermain	kebanyakan	anak	menghabiskan	waktu	bermain	1
kebanyakan_proyek_infrastruktur_butuh_waktu	kebanyakan	proyek	infrastruktur	butuh	waktu	1
kebebasan-nya_selama_kurun_waktu_ter-tentu	kebebasan-nya	selama	kurun	waktu	ter-tentu	1
kebenaran_sesungguhnya_mempunyai_waktu_sendiri	kebenaran	sesungguhnya	mempunyai	waktu	sendiri	1
keberadaannya_terjaga_dalam_jangka_waktu	keberadaannya	terjaga	dalam	jangka	waktu	1
keberangkatan_yaitu_disesuaikan_dengan_waktu	keberangkatan	yaitu	disesuaikan	dengan	waktu	1
keberatan_dalam_waktu_hari_sejak	keberatan	dalam	waktu	hari	sejak	1
keberatan_dengan_tak_adanya_waktu	keberatan	dengan	tak	adanya	waktu	1
keberatan_dengan_waktu_yang_diminta	keberatan	dengan	waktu	yang	diminta	1
keberhasilan_beberapa_waktu_lalu_bisa	keberhasilan	beberapa	waktu	lalu	bisa	1
kebersihan_dari_wak-tu_ke_waktu	kebersihan	dari	wak-tu	ke	waktu	1
kebersihan_diri_waktu_tidur_cukup	kebersihan	diri	waktu	tidur	cukup	1
kebesaran-Nya_ialah_tidurmu_pada_waktu	kebesaran-Nya	ialah	tidurmu	pada	waktu	1
kebetulan_disetujui_dalam_waktu_bersamaan	kebetulan	disetujui	dalam	waktu	bersamaan	1
kebetulan_pada_waktu_itu_ada	kebetulan	pada	waktu	itu	ada	1
kebetulan_pada_waktu_itu_datang	kebetulan	pada	waktu	itu	datang	1
kebetulan_saja_waktu_itu_ada	kebetulan	saja	waktu	itu	ada	1
kebiasaan_masyarakat_setempat_dan_waktu	kebiasaan	masyarakat	setempat	dan	waktu	1
kebiasaan_nyemil_di_sela_waktu	kebiasaan	nyemil	di	sela	waktu	1
kebiasaan_parpol_suka_mepet-mepet_waktu	kebiasaan	parpol	suka	mepet-mepet	waktu	1
kebiasaan_pelanggan_berapa_lama_waktu	kebiasaan	pelanggan	berapa	lama	waktu	1
kebijakan_gubernur_ini_dalam_waktu	kebijakan	gubernur	ini	dalam	waktu	1
kebijakan_ini_dari_waktu_ke	kebijakan	ini	dari	waktu	ke	1
kebijakan_itu_dalam_waktu_tiga	kebijakan	itu	dalam	waktu	tiga	1
kebijakan_terkait_waktu_luang_dari	kebijakan	terkait	waktu	luang	dari	1
kebijakan_untuk_memperpanjang_waktu_belajar	kebijakan	untuk	memperpanjang	waktu	belajar	1
kebudayaan_ru-ang_dan_waktu_apa	kebudayaan	ru-ang	dan	waktu	apa	1
kebuntuan_lima_menit_menjelang_waktu	kebuntuan	lima	menit	menjelang	waktu	1
kebuntuan_pada_menit_tambahan_waktu	kebuntuan	pada	menit	tambahan	waktu	1
keburu_habis_waktu_karena_soalnya	keburu	habis	waktu	karena	soalnya	1
keburu_imsak_batas_waktu_makan	keburu	imsak	batas	waktu	makan	1
kebutuhan_akan_ketepatan_waktu_dan	kebutuhan	akan	ketepatan	waktu	dan	1
kebutuhan_dalam_waktu_dekat_ini	kebutuhan	dalam	waktu	dekat	ini	1
kebutuhan_listrik_masyarakat_sementara_waktu	kebutuhan	listrik	masyarakat	sementara	waktu	1
kebutuhan_pelanggan_efisiensi_waktu_dan	kebutuhan	pelanggan	efisiensi	waktu	dan	1
kebutuhan_penumpang_masih_merasakan_waktu	kebutuhan	penumpang	masih	merasakan	waktu	1
kebutuhan_rentang_waktu_dari_satu	kebutuhan	rentang	waktu	dari	satu	1
kebutuhan_tambahan_seats_dalam_waktu	kebutuhan	tambahan	seats	dalam	waktu	1
kebutuhan_waktu_untuk_beribadah_antara	kebutuhan	waktu	untuk	beribadah	antara	1
kecakapan_dalam_mengelola_waktu_disiplin	kecakapan	dalam	mengelola	waktu	disiplin	1
kecamatan_bisa_memakan_waktu_sampai	kecamatan	bisa	memakan	waktu	sampai	1
kecamatan_dalam_waktu_dekat_akan	kecamatan	dalam	waktu	dekat	akan	1
kecamatan_dalam_waktu_sebulan_ini	kecamatan	dalam	waktu	sebulan	ini	1
kecamatan_dan_dalam_waktu_dekat	kecamatan	dan	dalam	waktu	dekat	1
kecanggihan_tersebut_pada_waktu_peluncuran	kecanggihan	tersebut	pada	waktu	peluncuran	1
kecantikan_ini_selalu_meluangkan_waktu	kecantikan	ini	selalu	meluangkan	waktu	1
kece-patan_dan_waktu_tempuh_untuk	kece-patan	dan	waktu	tempuh	untuk	1
kecelakaan_kerja_beberapa_waktu_lalu	kecelakaan	kerja	beberapa	waktu	lalu	1
kecelakaan_lalu_lintas_beberapa_waktu	kecelakaan	lalu	lintas	beberapa	waktu	1
kecelakaan_pada_waktu_melakukan_penangkapan	kecelakaan	pada	waktu	melakukan	penangkapan	1
kecelakaan_terjadi_waktu_pegawai_negeri	kecelakaan	terjadi	waktu	pegawai	negeri	1
kecemasan_karena_waktu_dikorbankan_dan	kecemasan	karena	waktu	dikorbankan	dan	1
kecepatan_berjalan_waktu_yang_dihabiskan	kecepatan	berjalan	waktu	yang	dihabiskan	1
kecepatan_dan_efisiensi_waktu_selama	kecepatan	dan	efisiensi	waktu	selama	1
kecepatan_dan_mengejar_waktu_perkuliahan	kecepatan	dan	mengejar	waktu	perkuliahan	1
kecepatan_karena_waktu_adalah_uang	kecepatan	karena	waktu	adalah	uang	1
kecepatan_waktu_atau_kemenangan_melainkan	kecepatan	waktu	atau	kemenangan	melainkan	1
kecepatan_waktu_dalam_pengiriman_pesan	kecepatan	waktu	dalam	pengiriman	pesan	1
kecepatan_waktu_pelayanan_bahkan_jika	kecepatan	waktu	pelayanan	bahkan	jika	1
kecepatan_waktu_yakni_regu_putra	kecepatan	waktu	yakni	regu	putra	1
kecewa_karena_waktu_itu_sudah	kecewa	karena	waktu	itu	sudah	1
